Baseline iforest; dataset pubmed; anomaly type min; test auc mean 0.509130677624859; test auc std 0.023067122022993616; best val auc mean 0.5062949344317589
Baseline iforest; dataset weibo; anomaly type min; test auc mean 0.4708110426159207; test auc std 0.02596595326442092; best val auc mean 0.46680991863827953
Baseline lof; dataset weibo; anomaly type min; test auc mean 0.61559894244458; test auc std 0.0; best val auc mean 0.59993945775204
Baseline hbos; dataset weibo; anomaly type min; test auc mean 0.28085513742420704; test auc std 0.0; best val auc mean 0.3384803739013854
Baseline oc-svm; dataset weibo; anomaly type min; test auc mean 0.8070998914112089; test auc std 0.0; best val auc mean 0.835869070431635
Baseline bwgnn; dataset weibo; anomaly type min; test auc mean 0.932988644719724; test auc std 0.003149407024181122; best val auc mean 0.9735012590579013
Baseline gin; dataset weibo; anomaly type min; test auc mean 0.9452751159838726; test auc std 0.005027192770651738; best val auc mean 0.9517156746408453
Baseline gat; dataset weibo; anomaly type min; test auc mean 0.8940910684577416; test auc std 0.026902336817374507; best val auc mean 0.9005109321058686
Baseline gcn; dataset weibo; anomaly type min; test auc mean 0.9741125366375906; test auc std 0.0025140641307703345; best val auc mean 0.9824264481227871
Baseline iforest; dataset books; anomaly type min; test auc mean 0.6008674698795181; test auc std 0.02104463042522623; best val auc mean 0.6284134881149807
Baseline lof; dataset books; anomaly type min; test auc mean 0.4505395683453237; test auc std 0.0; best val auc mean 0.4330024813895782
Baseline hbos; dataset books; anomaly type min; test auc mean 0.7072551602986386; test auc std 0.0; best val auc mean 0.6050304035378662
Baseline oc-svm; dataset books; anomaly type min; test auc mean 0.14845605700712589; test auc std 0.0; best val auc mean 0.27365958978049654
Baseline bwgnn; dataset books; anomaly type min; test auc mean 0.5653551251008878; test auc std 0.06775108727620603; best val auc mean 0.7732098765432099
Baseline gin; dataset books; anomaly type min; test auc mean 0.5; test auc std 0.0; best val auc mean 0.5219292803970224
Baseline gat; dataset books; anomaly type min; test auc mean 0.5; test auc std 0.0; best val auc mean 0.5625821414766138
Baseline gcn; dataset books; anomaly type min; test auc mean 0.5; test auc std 0.0; best val auc mean 0.5
